contact_id,student_id,student_name,school_id,class_id,guardian_name,relationship,phone_number_raw,phone_number_e164,primary_contact
GC#SCH04-S032#0791 319 002,SCH04-S032,Kevin Omondi,SCH04,SCH04-FORM4SOUTH,Oscar Omondi,Guardian,0791 319 002,+254791319002,Yes
GC#SCH05-S001#0700 636 430,SCH05-S001,Collins Nyambura,SCH05,SCH05-FORM2CENTRAL,Eunice Nyambura,Mother,0700 636 430,+254700636430,Yes
GC#SCH05-S002#0722 437 912,SCH05-S002,Elvis Kiptoo,SCH05,SCH05-FORM2CENTRAL,Ruth Kiptoo,Grandmother,0722 437 912,+254722437912,Yes
GC#SCH05-S003#0110 134 901,SCH05-S003,Kibet Kilonzo,SCH05,SCH05-FORM2CENTRAL,Nancy Kilonzo,Aunt,0110 134 901,+254110134901,Yes
GC#SCH05-S004#0111 457 621,SCH05-S004,Geoffrey Kiptoo,SCH05,SCH05-FORM2CENTRAL,Fred Kiptoo,Uncle,0111 457 621,+254111457621,Yes
GC#SCH05-S005#0768 959 012,SCH05-S005,Fred Mumbi,SCH05,SCH05-FORM2CENTRAL,Gladys Mumbi,Grandmother,0768 959 012,+254768959012,Yes
GC#SCH05-S006#0757 017 252,SCH05-S006,Victor Omondi,SCH05,SCH05-FORM2CENTRAL,Ursula Omondi,Grandmother,0757 017 252,+254757017252,Yes
GC#SCH05-S007#0791 405 344,SCH05-S007,Enock Kiprono,SCH05,SCH05-FORM2CENTRAL,Diana Kiprono,Aunt,0791 405 344,+254791405344,Yes
GC#SCH05-S008#0700 451 647,SCH05-S008,Duncan Njeri,SCH05,SCH05-FORM2CENTRAL,Onalisa Njeri,Aunt,0700 451 647,+254700451647,Yes
GC#SCH05-S009#0790 044 205,SCH05-S009,Brian Wekesa,SCH05,SCH05-FORM2CENTRAL,Peris Wekesa,Mother,0790 044 205,+254790044205,Yes
GC#SCH05-S010#0723 870 596,SCH05-S010,Enock Kariuki,SCH05,SCH05-FORM2CENTRAL,Gilbert Kariuki,Grandfather,0723 870 596,+254723870596,Yes
GC#SCH05-S011#0702 539 607,SCH05-S011,Francis Maina,SCH05,SCH05-FORM2CENTRAL,Boniface Maina,Guardian,0702 539 607,+254702539607,Yes
GC#SCH05-S012#0741 192 859,SCH05-S012,Titus Barasa,SCH05,SCH05-FORM2CENTRAL,Irene Barasa,Uncle,0741 192 859,+254741192859,Yes
GC#SCH05-S013#0711 085 005,SCH05-S013,Kelvin Ochieng,SCH05,SCH05-FORM2CENTRAL,Ursula Ochieng,Guardian,0711 085 005,+254711085005,Yes
GC#SCH05-S014#0733 823 704,SCH05-S014,Kibet Onyango,SCH05,SCH05-FORM2CENTRAL,Samuel Onyango,Father,0733 823 704,+254733823704,Yes
GC#SCH05-S015#0768 051 188,SCH05-S015,Erick Rotich,SCH05,SCH05-FORM2CENTRAL,Isaac Rotich,Grandmother,0768 051 188,+254768051188,Yes
GC#SCH05-S016#0722 362 331,SCH05-S016,Kevin Mbugua,SCH05,SCH05-FORM2CENTRAL,Enock Mbugua,Mother,0722 362 331,+254722362331,Yes
GC#SCH05-S017#0111 343 795,SCH05-S017,Boniface Achieng,SCH05,SCH05-FORM2CENTRAL,Nancy Achieng,Guardian,0111 343 795,+254111343795,Yes
GC#SCH05-S018#0741 427 396,SCH05-S018,Oscar Wekesa,SCH05,SCH05-FORM2CENTRAL,Enock Wekesa,Guardian,0741 427 396,+254741427396,Yes
GC#SCH05-S019#0700 847 324,SCH05-S019,Felix Muthoni,SCH05,SCH05-FORM2CENTRAL,Irene Muthoni,Guardian,0700 847 324,+254700847324,Yes
GC#SCH05-S020#0791 389 379,SCH05-S020,Robert Kilonzo,SCH05,SCH05-FORM2CENTRAL,Onalisa Kilonzo,Grandfather,0791 389 379,+254791389379,Yes
GC#SCH05-S021#0740 568 664,SCH05-S021,Alex Mumbi,SCH05,SCH05-FORM2CENTRAL,Mercy Mumbi,Mother,0740 568 664,+254740568664,Yes
GC#SCH05-S022#0711 186 988,SCH05-S022,Oscar Kosgei,SCH05,SCH05-FORM2CENTRAL,Peter Kosgei,Uncle,0711 186 988,+254711186988,Yes
GC#SCH05-S023#0112 535 121,SCH05-S023,Dickson Auma,SCH05,SCH05-FORM2CENTRAL,Lewis Auma,Mother,0112 535 121,+254112535121,Yes
GC#SCH05-S024#0721 623 390,SCH05-S024,Wycliffe Mutua,SCH05,SCH05-FORM2CENTRAL,Agnes Mutua,Grandmother,0721 623 390,+254721623390,Yes
GC#SCH05-S025#0110 864 998,SCH05-S025,Felix Kilonzo,SCH05,SCH05-FORM2CENTRAL,Harrison Kilonzo,Grandmother,0110 864 998,+254110864998,Yes
GC#SCH05-S026#0110 697 230,SCH05-S026,Francis Mwangi,SCH05,SCH05-FORM2CENTRAL,Esther Mwangi,Grandmother,0110 697 230,+254110697230,Yes
GC#SCH05-S027#0112 984 408,SCH05-S027,Titus Maina,SCH05,SCH05-FORM2CENTRAL,Fred Maina,Father,0112 984 408,+254112984408,Yes
GC#SCH05-S028#0701 266 092,SCH05-S028,Collins Gathoni,SCH05,SCH05-FORM2CENTRAL,Kelvin Gathoni,Grandfather,0701 266 092,+254701266092,Yes
GC#SCH05-S029#0711 565 471,SCH05-S029,Michael Kosgei,SCH05,SCH05-FORM2CENTRAL,Humphrey Kosgei,Grandfather,0711 565 471,+254711565471,Yes
GC#SCH05-S030#0720 607 768,SCH05-S030,Boniface Mumbi,SCH05,SCH05-FORM2CENTRAL,Boniface Mumbi,Grandfather,0720 607 768,+254720607768,Yes
GC#SCH05-S030#0721 702 140,SCH05-S030,Boniface Mumbi,SCH05,SCH05-FORM2CENTRAL,Kibet Mumbi,Uncle,0721 702 140,+254721702140,No
GC#SCH05-S031#0111 824 314,SCH05-S031,Harrison Atieno,SCH05,SCH05-FORM2CENTRAL,Gladys Atieno,Father,0111 824 314,+254111824314,Yes
GC#SCH05-S032#0721 895 771,SCH05-S032,Brian Odhiambo,SCH05,SCH05-FORM2CENTRAL,Emmanuel Odhiambo,Father,0721 895 771,+254721895771,Yes
GC#SCH05-S033#0701 814 147,SCH05-S033,Kevin Cherono,SCH05,SCH05-FORM2CENTRAL,Rehema Cherono,Uncle,0701 814 147,+254701814147,Yes
GC#SCH05-S034#0710 952 642,SCH05-S034,Collins Nafula,SCH05,SCH05-FORM2CENTRAL,Kendi Nafula,Grandmother,0710 952 642,+254710952642,Yes
GC#SCH05-S035#0702 299 065,SCH05-S035,George Cheruiyot,SCH05,SCH05-FORM2CENTRAL,Titus Cheruiyot,Uncle,0702 299 065,+254702299065,Yes
GC#SCH05-S036#0722 766 951,SCH05-S036,Felix Atieno,SCH05,SCH05-FORM2CENTRAL,Esther Atieno,Guardian,0722 766 951,+254722766951,Yes
GC#SCH05-S037#0721 042 491,SCH05-S037,Wycliffe Odhiambo,SCH05,SCH05-FORM2CENTRAL,Isaac Odhiambo,Aunt,0721 042 491,+254721042491,Yes
GC#SCH05-S038#0733 441 999,SCH05-S038,Hillary Cherono,SCH05,SCH05-FORM2CENTRAL,Winnie Cherono,Father,0733 441 999,+254733441999,Yes
GC#SCH05-S039#0700 676 177,SCH05-S039,Gilbert Mwangi,SCH05,SCH05-FORM2CENTRAL,Enock Mwangi,Father,0700 676 177,+254700676177,Yes
GC#SCH05-S040#0757 362 842,SCH05-S040,Duncan Wanjiru,SCH05,SCH05-FORM2CENTRAL,Catherine Wanjiru,Grandmother,0757 362 842,+254757362842,Yes
